阅读日期,文献标题,关键词,摘要,期刊,年份,要点总结,0-5,subject1-特征点识别算法,情绪,Posture
2019/3/25,"Aging, Arterial Stiffness, and Blood Pressure Association
in Chinese Adults",aging ? blood pressure ? cardiovascular disease ? pulse wave analysis ? stroke ? vascular stiffness,"Arterial stiffness and blood pressure (BP) both increase with aging synchronously. Whether elevated BP results from thickening of arterial wall or vice versa is controversial in previous studies. This study included 17 862 participants without history of myocardial infarction, stroke, atrial fbrillation or ?utter, or cancer and with brachial-ankle pulse wave velocity (baPWV) and BP measurements during 2010 to 2016. Age was calculated from the self-reported birthdate to the frst date of baPWV examination. Mediation analyses were applied to assess the mediation effect by baPWV in the association between age and BP. Temporal relation between baPWV and BP was assessed by cross-lagged analyses among 1508 participants with repeated assessment of baPWV. We found that systolic BP increased 0.47 (95% CI, 0.45–0.49) mm Hg per 1 year older by the mediation effect of baPWV and that the direct effect of aging on systolic BP was ?0.07 (95% CI, ?0.09 to ?0.05) mmHg per 1 year older. The standard regression coeffcient from baseline baPWV to follow-up systolic BP was 0.09 (95% CI, 0.04–0.15), which was greater than the standard regression coeffcient from baseline systolic BP to follow-up baPWV (0.01; 95% CI, ?0.04 to 0.06). Arterial stiffness mediated the positive association between aging and BP, and arterial stiffness might precede elevated BP.",Hypertension,2019,本文研究年龄，血管僵硬度和血压之间的联系，采用中介分析，baPWV作为年龄和血压的中介变量，研究三者的中介效应和baPWV与BP之间交叉分析。结论：动脉硬化介导了年龄和BP之间的正相关，并且，动脉硬化可能会先于血压的升高，文末提出，确认减缓动脉硬化程度能否降低心血管患病风险还需要做更多的工作。,4,,,
2019/3/26,中心动脉压力波形无创检测仪,无创测量仪器；中心动脉压力波形；心血管疾病,中心动脉压力波蕴含大量心脑血管的信息，相比外周动脉压而言，中心动脉压对心血管疾病有更加独立且显著的预测作用。中心动脉压的有创测量创伤大、操作复杂、价格高，因此无创、准确的中心动脉测量仪器研发是当前研究的热点。本文从什么是中心动脉压、中心动脉压的意义、中心动脉无创测量原理、中心动脉的测量方法和校准等方面的国内外现状和趋势进行简要阐述。本文重点说明无创中心动脉压力波形测量仪器的各种测量原理。,生命科学仪器,2017,该文对脉搏波反射波的形成机理进行了阐述，对中心动脉压的影响因素、生理病理含义，临床意义以及测量方法进行了综述。对无创中心动脉压测量的仪器进行了对比，另有外周动脉测量的校准方法。,4,,,
2019/4/1,"Analysis of the Brachial-ankle Pulse Wave Velocity of Stroke
Patients according to Change of Posture for Healthy Science
Research: A Randomized Controlled Pilot Trial","Brachial-ankle pulse wave velocity, Stroke,
Posture","Brachial-ankle pulse wave velocity (BaPWV) in the assessment of cardiovascular risk factors is often used to predict early cardiovascular disease, and it is used as a clinical indicator. A high value of BaPWV indicates high cardiovascular disorder. However, BaPWV and pressure waveforms after stroke are not fully understood in change of posture. Therefore, this study investigated the effects of BaPWV on posture changes in subjects. BaPWV was measured in twentyeight subjects (sixteen healthy volunteers and twelve stroke patients) while they were in the body position such as supine, sitting, and standing posture. BaPWV was significantly increased in the stroke group compared with the healthy volunteers in supine and standing posture. BaPWV improved significantly in stroke patients of standing posture after the 4-week intervention program. Furthermore, analysis of the pressure waveforms of supine and standing posture showed that the peak pressure was significantly increased in the stroke group compared with the healthy group. The peak pressure of supine and standing posture on both the affected and non-affected sides was also significantly greater than in the healthy group. However, the rise and decay times were significantly decreased in the stroke group compared with the healthy group in supine and standing posture. The rise and decay time on both the affected and non-affected sides were significantly more decreased than in the control group. These results suggest that changed BaPWV and pulse waves are related with the pathologic states of stroke patients in various body postures.","The Korean Society of Environmental Risk Assessment and
Health Science and Springer ",2015,该文研究BaPWV在健康人和中风患者之间不同姿势下的差异是否显著，以及在接受干预治疗前后，中风患者的BaPWV在三种姿势下的差异显著性，因多数研究都在坐姿下进行。而该文没有对相同状态不同姿势的脉搏波波速进行比对，但，从柱状图可以看出，BaPWV的变化情况大致为，仰卧时值最小，坐姿居中，站立时值最高。该文还对比了脉搏波波形参数：peak pressure，上升时间和下降时间（rise and decay time）在健康人和中风患者之间的差异，结果显示，仰卧和站姿时三个脉搏波波形指标（peak pressure，rise time，decay time）在两种人群中有显著差异，其中，pp增加，两个时间减少（相对于正常人）。,4,,,TRUE
2019/4/5,Carotid artery pulse wave time characteristics to quantify ventriculoarterial responses to orthostatic challenge,hemodynamics; orthostasis; systolic time intervals; vascular ultrasound,"Central blood pres sure waveforms contain specific features related to cardiac and arterial function. We investigated posture-related changes in ventriculoarterial hemodynamics by means of carotid artery (CA) pulse wave analysis. ECG, brachial cuff pressure, and common CA diameter waveforms
(by M-mode ultrasound) were obtained in 21 healthy volunteers (19–30 yr of age, 10 men and 11 women) in supine and sitting positions. Pulse wave analysis was based on a timing extraction algorithm that automatically detects acceleration maxima in the sec ond derivative of the CA pulse waveform. The algorithm enabled determination of isovolumic contraction period (ICP) and ejection period (EP): ICP   43   8 (SD) ms (4-ms precision), and EP 302   16 (SD) ms (5-ms precision). Compared with the supine position, in the sitting position diastolic blood pressure (DBP) in creased by 7   4 mmHg (P   0.001) and R-R interval decreased by 49   82 ms (P   0.013), reflecting normal baroreflex response, whereas EP decreased to 267   19 ms (P   0.001). Shortening of EP was significantly correlated to earlier arrival of the lower body peripheral reflection wave (r 2   0.46, P   0.001). ICP increased by 7   7 ms (P   0.001), the ICP-to-EP ratio increased from 14   3% (supine) to 19   3% (P   0.001) and the DBP-to-ICP ratio decreased by 7% (P   0.023). These results suggest that orthostasis decreases left ventricular output as a result of arterial wave reflections and, presumably, reduced cardiac preload. We conclude that CA ultra sound and pulse wave analysis enable noninvasive quantification of ventriculoarterial responses to changes in posture.",J Appl Physiol ,2007,该文通过颈动脉脉搏波分析的方法来研究与姿势相关的心室大动脉血液动力学的变化。其中颈动脉脉搏波是通过M-mode超声测量普通颈动脉的直径绘制出来的。通过某种算法计算出心室收缩过程的等容收缩期（ICP）和射血期（EP），并对不同姿势下的ICP，EP，DBP，RR间期，ICP/EP，DBP/ICP等进行显著性差异分析。最终得出结论：通过颈动脉超声脉搏波分析可以无创地对心室大动脉在不同姿势下的反应的变化进行量化。其中，RR间期在坐姿的情况下比在仰卧姿势下显著降低，而舒张血压在坐姿下更高，即，坐着的时候相对于躺着心率加快，血压升高。ICP和EP等指标是通过脉搏波波形和心电波形结合求得的，均为时间指标。,4,,,TRUE
2019/4/14,心率变异性的研究及应用进展,心率变异性; 自主神经; 无创心电,心率变异性是评价自主神经功能最常用的无创方法， 随着计算技术的发展越来越多测量心率变异性的新方法进入到实践之中。自主神经系统在不同系统疾病中的影响和作用， 正由于这种无创评估方法的实用化而被逐渐认识。现仅就心率变异性方法学和应用领域方面的进展进行简要概述。,心血管病学进展 ,2014,该文从定义、时域、频域指标的含义，散点图及可以从中提取的指标介绍了心率变异性的研究方法，罗列了几个心率变异性的应用，包括糖尿病、心血管疾病，呼吸系统疾病等。,4,,,
2019/4/16,体位对桡动脉脉搏波影响的量化分析,体位；桡动脉；双弹性腔模型；血流动力学参数,"目的 揭示和量化分析体位变化对男性和女性桡动脉脉搏波的影响。 方法 选择20名健康
学生，采用双路脉搏信号采集设备，分别测量受试者在0度、 45度、 90度倾斜床上的桡动脉脉搏波，并计算其基本的血流动力学参数和相应的双弹性腔模型参数。采用配对t检验分析比较了不同体位下男性和女性的血流动力学参数。 结果 随着体位的升高（即受试者随倾斜床坐0度到45度再到90度的变化）男性和女性的心率（ HR）和心内膜下心肌活力率（ SEVR）均显著变大（ P<0.05）；男性和女性的桡动脉下降时间（ Tdown）显著减小（ P<0.05）；其他血流动力学参数随体位变化不显著（ P>0.05）；随着体位的升高男性和女性的主动脉顺应性（ C1）和腹主动脉顺应性（ C2）变小、外周阻力（ R）变大。男性和女性的HR、 R、 u-Lratio具有统计学差异（ P<0.05）；男性和女性的K值、 Tup、 Tdown、 TLVET、 LM-Pratio、 dAI、 SEVR、 u-dratio、 C1、 C2没有统计学差异（ P>0.05）。 结论 体位变化对桡动脉脉搏波存在明显影响，且对男性和女性血流动力学参数的影响有差异，应引起临床重视。",中国医疗设备 ,2016,该文研究不同体位下的脉搏波特征参数等的差异。不同体位是指分别在0度、45度和90度下的倾斜床上充分休息后测量的1min的脉搏波数据。采集设备为心电信号和双路脉搏波信号采集系统。每个受试者连续测量五组，每组包括三种体位的数据各1min。该文对实验结果进行了定性和定量分析。其中，定性分析表明，随着体位的升高，有明显潮波的人的波形变得潮波不明显，而本身没有潮波或者潮波不明显的人的波形无太大变化；定量分析采用柱状图法将mean±SD绘制出来，并对各个指标进行配对t检验。结论：1. 血液动力学参数：心率HR、心内膜下心肌活力率SEVR均变大；桡动脉压上升时间、下降时间、脉搏波起点到降中峡的时间均减小；2. 弹性腔模型参数：主动脉顺应性C1和腹主动脉顺应性C2变小、外周阻力R变大；3. 男性和女性的差异分析：HR、R和桡动脉压上升时间域脉搏波起点到降中峡的时间比值u-Lratio有显著性差异，其他指标均无。该文提到，随着体位增大，桡动脉压周期的减小（心率的变大）主要体现在下降时间和起点到降中峡的时间上，而上升时间无较大干系。,5,,,TRUE
,二不同年龄组脉搏波特征参数的研究,脉搏 ; 特征参数 ; 波 图面积 ; 脉搏 波 导数,"选取 2 0 名年较 的 ( 2 1 一 2 9 岁) 和 2 0 名年老 的 (- 7 0 -8 0 岁) 血压正常的健康受试者为研 究对象, 以 1 2 位、 25 0 H z 采集每位 受试者的指端脉将 波数据 . 为 了研 究脉将波波形 特征 与生理 因紊的关系, 提出 了脉搏波导数最大 值这 一新的 特征参数 , 该参数其有灵敏度 高、 计 算简单的优点 . 我们 用 M A T L A B 编程 自动检 浏 出 波 形特征 .叙的位! , 并计葬 出每位 受试 者的 各项特征参数值 . 结果如 下: 脉搏波导数最 大值是年枉组 明显大于 年老组 (P < 0 . 0 1 ) , 波 图面 积的 K 值是年轻组小 于 年老组 (P< 0 . 1 ) . 结果预 示 了这些指标可作 为评价心血管 系统功 能的 重要依据",生 物 数 学 学 报 ,2007,该文研究脉搏波波形参数在两个年龄组的差异，结果表明，脉搏波一阶导数的最大值年轻组明显大于老年组；K值年轻组小于老年组；快速射血时间T1年轻组明显小于老年组；T1与心动周期T的比值年轻组明显小于老年组。这与我们的研究结果相吻合。,5,,,
2019/4/17,Effect of Posture on Popliteal Artery Hemodynamics,,,Arch Surg,2000,仰卧，坐姿，再次仰卧；对比指标主要有腘动脉Popliteal artery的volumn flow，平均容量mean velocity，peak systolic velo，end diastolic velocity；脉动指数pulsatility index。统计学分析结果显示，仰卧与坐姿相比均有显著性差异，P<0.001，两次仰卧相比均无显著性差异。Edv的减小和脉动指数的增加，考虑坐姿时有外周血管收缩继发的动脉血流阻力的增强。vFl，edv，脉动指数在不同组的定量差异表明，患者中直立性血管反应明显减弱，反映了静脉小动脉反应的神经错乱。,4,,,TRUE
,EFFECT OF POSTURE ON ELASTIC PROPERTIES OF THE ARTERIES AND HEMODYNAMICS OF HUMAN LIMBS,large arteries; elasticity.,,Plenum Publishing Corporation,1983,在胳膊处和腿部1/3处分别放置袖带，记录脉搏波和血压，并计算一系列参数，对比不同姿势（-20度，0度，70度）下以及不同身体部位的各参数的异同。最终陈述观察结果显示，人的血压是有梯度的。,4,,,TRUE
2019/4/21,心电散点图的作图原理与分析,,,临床心电学杂志,2012,心电散点图的诊断指标：子图的数目、图形分布的形态、图形在坐标系中的位置、b线的斜率。可诊断室性和室上性早搏，心房颤动等。,4,,,
,重视心电散点图的临床应用,,,临床心电学杂志,2012,罗列了包括正常窦性心律、房性早搏、室性早搏、房早伴差传、持性心房颤动、传导比例不断变化的心房扑动、房颤伴联律间期固定的室性早搏、房颤伴房扑、二度窦房阻滞的心电散点图。其形态有较大差异。文末介绍了带有散点图分析功能的动态心电图系统的几个技术。,4,,,
2019/4/22,"Vascular stiffness determined from a nocturnal digital pulse wave signal: association with sleep, sleep-disordered breathing, and hypertension","blood pressure, finger photoplethysmography,
hypertension, sleep, sleep apnea, vascular stiffness",,Journal of Hypertension,2016,PPT，定义为收缩峰值和舒张峰值的时间间隔。其中舒张峰值是重搏波的波峰。本文研究PPT在不同睡眠状态下的不同健康状态（高血压与血压正常、睡眠障碍和睡眠正常）下的异同，以确定其与心血管僵硬程度之间的关系。结果表明，夜间PPT均值和年龄、身高、体重、吸烟史和呼吸暂停指数apnea-hypopnea index（一定时间内发生呼吸暂停和呼吸不足时间的次数）独立相关。对比的这些指标都是以证明白天心血管僵硬程度的影响因素，间接证明了PPT与心血管僵硬程度相关。另外，PPT受睡眠所处的阶段的影响，其中，慢波睡眠阶段PPT最高，这个规律无论是在高血压病人还是正常血压病人身上都成立，虽然在高血压人身上，PPT的值均小于正常血压的值。这使得无创监测睡眠过程中的心血管功能成为可能。血管僵硬度升高时，PPT减小。该文在调研其他文献时，引用了睡眠过程的血压是心血管状况的强烈预测因子的观点。并表明动脉硬化是血管年龄、血管疾病（如：高血压）等的有效标志，并且是决定性和非决定性心血管事件的强烈预测因子。,5,,,
,Non-Invasive Intracranial Pulse Wave Monitoring,"information technology, body posture, intracranial pressure, intracranial blood volume
pulse waves, cerebral hemodynamics, non-invasive monitoring, time-frequency filtering.","Non-invasive physiological monitors are important subsystems of intensive care infor matic systems. New innovative information methods and technology are presented for non-invasive
human brain volumetric pulse wave physiological monitoring.
Experimental study of a new, non-invasive ultrasonic intracranial pulse wave monitoring tech nology show the reactions of non-invasively recorded intracranial blood volume pulse waves (IB VPW) on healthy volunteers in different human body positions. A group of 13 healthy volunteers
was studied.
Body posture caused IBVPW, subwaves changes, ΔP2 = 18% and ΔP3 = 11%. The value of
the IBVPW amplitude’s ratio in supine and upright positions was 1.55 ± 0.61.",INFORMATICA,2008,该文测量颅内脉搏波的无创监测，运用无创超声技术，是否提到了测量部位？--没提。由于该文采用的超声颅内脉搏波测量设备的测量原理为颅骨的一侧发射，一侧接收，利用颅内血液、脑组织和脑脊液的声学特性的不同，检测到由于上述物质的容积变化带来的超声传导时间的变化，从而形成脉搏波。该文设计了人脑的模型，模拟上述过程，成功检测到了超声的衰减。另外，利用同样的仪器采集了13个被试者的仰卧和站立两种姿势下的颅内超声脉搏波，对比分析了其脉搏波形态和幅值的差异，其中，站立姿势下的脉搏波幅值明显大于仰卧姿势的幅值，该文作者解释为不同姿势下的由于动静脉血液和脑脊液的容积变化带来的生理变化。另外，该文还对呼吸前后的脉搏波进行了对比，绘制其Wigner–Ville distribution图。提出该文所用超声颅内脉搏波检测设备可用于脑部受伤病人的脑部血管自动调节的研究，研究时结合正常对照组的波形数据。,5,,,TRUE
2019/4/23,,,,,,,,,,
2019/4/24,A Simple Emotion Discrimination Technique Based on Triangle Phase Space Mapping of HRV Signals,"Emotion, Gender, Heart Rate, Nonlinear Dynamics, Statistical Data Analysis","Physiological signal processing techniques are commonly used in emotion recognition. Heart rate variability (HRV) is an important tool in disease diagnosis and psychological investigations. Because of the chaotic nature
of HRV, customary methods may not be proficient. Taking the advantage of geometrically based algorithms can lead to the uncomplicated and better representation of heart rate dynamics. The aim of this study was to test
whether a simple HRV measure, based on triangle phase space mapping and polynomial fitting, provides a useful emotion recognition technique. HRV of women (n = 12) aged 19-25 years were compared to that of 12 matched aged men, while subjects were induced by four emotional stimuli: happy, sad, afraid, and relax. Kruskal-Wallis test was applied to show the level of significance of the features. The results confirm that emotional responses to sad, afraid and relax stimuli can be differentiated by the proposed indices. In addition, they are significantly different in both genders' physiological reactions. It seems that the suggested simple
quantifiers are most promising in offering new insight into the dynamics assessments of HRV signals in different emotional states.",I.J. Engineering and Manufacturing,2017,该文基于心率变异性HRV的triangle phase space mapping 三角相空间映射图的多项式拟合系数，对人的情绪进行分辨与区分。每对儿状态之间的系数A、B、C都具有显著性差异。其中，relax和其他状态之间的显著性P值最小。Relax，happy，sad and afraid。该文还对不同性别之间的差异性进行了分析。除了happy以外，其他三种情绪均有显著性差异（男女之间）。,5,,TRUE,
,Classification of Positive and Negative Emotion Evoked by Traffic Jam based on electrocardiogram (ECG) and Pulse Wave,,"Measuring emotion usually involves use of questionnaires. However, a questionnaire method is unable to measure emotion in real time as questionnaires are executed after the experiments. Besides, the resolution time of the emotion rating is low. Therefore, we proposed a novel method
of measuring emotion in real time and to classify the negative emotion evoked by irritation of traffic jam and Positive emotion evoked when traffic jam disappeared by using bio-signals (electrocardiogram and Pulse wave). We reproduced a situation where traffic jam occurs using a
Driving simulator (DS), and we measured bio-signals when subjects drive in it. Measured data were classified using Linear discriminant analysis (LDA) in two states of any three following situations: (Positive or no evoked emotion, Negative or no evoked emotion, Positive or Negative emotion). As a result of classification based on bio-signals, two states of three situations got high classification capability. We also indicated possibility for classification of two states.","14th International IEEE Conference on
Intelligent Transportation Systems
Washington, DC, USA. ",2011,"该文开展了情绪诱导实验，认为在模拟驾驶舱驾驶过程中遇到堵车会诱发负面情绪，在解决了堵车问题后可以自由超车的时候为积极的正面情绪，并设计了分类器区分负面情绪和无情绪，正面情绪和无情绪，正面情绪和负面情绪。实验的设计：正面和负面情绪分别设有3个level；在experiment1中先轻松开车10min，后遇堵车继续开10min；experiment2先堵车开10min，再轻松开10min；开车前后均填写日本的PANAS情绪量表；实验开展的同时采集生理信号，pulse wave放置在额头，ecg放置在肩部。计算的指标包括：HRV，RRI_avg,RRI_std(副交感神经活性);TP（相邻RR间期有差异的个数)；LF,HF（副交感神经）,LF/HF（交感神经）；HRV1-4（心率变异性的频域成分每隔0.1HZ划分）；PTT；RRI和PTT的综合指标。数据处理时每180s计算一次特征指标，每次移动10s。特征分类的方法为Liner Distinction Analysis，特征选择为多元线性回归的筛选方法-Forward Stepwise Selection（逐步增加变量，看加入后对整体的影响大不大）。结果分别罗列了问卷调查、实验过程的场景的选择和特征分类结果的实际情况，最终分类的准确率高达0.8。得出被选上的指标中HF与自主神经活性相关，PTT和血压相关，并且认为情绪记忆和自主神经活性相关。",5,,TRUE,
2019/4/25,Improvement of HRV Methodology for Positive/Negative Emotion Assessment,"Heart Rate Variability (HRV), HRV
methodology, ECG, Signal processing, Positive/Negative
emotion","Heart rate variability (HRV) dynamics are particularly sensitive to changes in emotional states, and positive and negative emotions can readily be distinguished by changes in heart rhythm patterns. In this paper, we proposed an improved methodology which is a full set ofmethods from hardware design to software development for HRV analysis.
Firstly, a multi-channel ECG acquisition device has been designedfor ECG signal collection, and then we developed a full-featured ECG monitoring system which suitable for real-time ECG display, signal pre-processing, high accuracyR wave detection and HRV analysis in time and frequency
domain. Moreover, this study investigates the relationship between HRV and positive/negative emotion. The experiment consists of three tasks: eyes-open, pleasant images and unpleasant images. 15 healthy, right-handed volunteers (female 5, male 10)participatedin the experiment; all ofthem
are collegestudent between18 and 25 years. Wefind that there is significant correlation between HRV and positive/negative emotion. Subjects who had high SDNN and high LF exhibit greater activationofautonomic nervous system and vice versa. These results which demonstrated the relationship between automatic nervous system and psychological response on positive/negative stimulus can help us for self-emotion management and regulation, as well as determine the clinical utility ofpsychologicalintervention.",http://dx.doi.org/10.410B/ICST.COLLABORATECOM2009.B296,2009,,4,,TRUE,
2019/4/26,基于 MSVＲ 和 Arousal-Valence 情感模型的表情识别研究,表情识别; Arousal-Valence 情感维度; 相关性; 多输出支持向量回归( MSVＲ),通常的表情识别方法是对基本情绪进行表情分类， 然而基本情绪对情感的表达能力有限。为了丰富情感的表达， 研究采用 Arousal-Valence 情感模型， 从心理学的角度对Arousal-Valence 模型中 Arousal 维度和 Valence 维度之间的相关性进行了分析， 并用统计学方法对 AVEC2013， NVIE 和 Ｒecola 3 个数据集进行研究， 实验结果表明它们之间具有正相关关系。为了利用 Arousal-Valence 之间的相关性， 采用多输出支持向量回归( multiple dimensional output support vector regression， MSVＲ) 算法作为表情的训练和预测算法， 并结合特征融合和决策融合提出了一种基于 MSVＲ的两层融合表情识别方法。实验结果表明提出的表情识别方法比传统的方法能取得更好的识别效果。,"重庆邮电大学学报( 自然科学版)
Journal of Chongqing University of Posts and Telecommunications( Natural Science Edition)",2016,维度理论采用多维空间， 从激励、愉悦等不同的角度来描述情感， 常见的情感模型有 Mehrabian 提出的 PAD( pleasure， arousal， dominance) 情感模型 、Cowie提出 的 EAP ( evaluation， activity， power ) 情 感 模型 、Ｒussell 提出的 A-V( arousal， valence) 情感模型等。Arousal 代表的是激活度( activation) ， Valence 代表的是愉悦度 ( pleasant ness) 。通常二者的取值是［ － 1， 1］。,,,TRUE,
,Characteristics of Resonance in Heart Rate Variability Stimulated by Biofeedback,resonance; closed loop system; biofeedback; heart rate variability; baroreflex,"As we previously reported, resonant frequency heart rate variability biofeedback increases baroreflex gain and peak expiratory flow in healthy individuals and has positive effects in treatment of asthma patients. Biofeedback readily produces large oscillations in heart rate, blood pressure, vascular tone, and pulse amplitude via paced breathing at the specific natural resonant frequency of the cardiovascular system for each individual. This paper describes how resonance properties of the cardiovascular system mediate the effects of heart rate variability biofeedback. There is evidence that resonant oscillations can train autonomic reflexes to provide therapeutic effect. The paper is based on studies described in previous papers. Here, we discuss the origin of the resonance phenomenon, describe our procedure for determining an individual’s resonant frequency, and report data from 32 adult asthma patients and 24 healthy adult subjects, showing a negative relationship between resonant frequency and height, and a lower resonant frequency in men than women, but no relationship between resonant frequency and age, weight, or presence of asthma. Resonant frequency remains constant across 10 sessions of biofeedback training. It appears to be related to blood volume.",Applied Psychophysiology and Biofeedback,2006,,,,,
2019/5/4,心脏性猝死与危险因素的防治,心脏性猝死；危险因素；危险分层；防治,,"临床急诊杂志
ＪｏｕｒｎａｌｏｆＣｌｉｎｉｃａｌＥｍｅｒｇｅｎｃｙ（Ｃｈｉｎａ）",2018,该文指出，因心脏病发生猝死的人中老年人居多。50岁以上心脏性猝死SCD发生显著增加。大于70岁的女性SCD发生率是小于45岁的40倍以上。男性患病是女性的2-3倍，该差异随年龄的增加而减小。对病因统计，病对防治工作如使用何种药物，以及猝死高危人群建议采取的检测方式，提出社会人士应该将注意力放在SCD的源头放在心血管疾病的防治工作上。SCD是一个多病因、多危险因素导致的不良结局，最常见的病因是冠心病。各种心血管病或原发性心电疾病导致的SCD过程中，最后通常都是经由致命性心律失常，占SCD的90%，其中包括心室颤动、室性心动过速、窦性停搏、高度房室阻滞等。,5,,,
2019/5/7,The Arterial Pulse Wave and Vascular Compliance,,,Progress in Cardiovascular Nursing,2009,动脉脉搏波和血管顺应性vascular compliance的一篇综述。脉搏波分析pulse wave analysis包括脉搏波波速PWV和增强指数augmentation index，两个指标都是动脉血管顺应性的测量方法。脉搏波分析可以检测早期动脉硬化，监测动脉血管顺应性和中心动脉血液动力学响应。提出，波速越快，血管僵硬程度越大，并且血管越小。该文中有脉搏波测量原理的图，有增强压力的示意图，其中收缩压指的是反射波的波峰，即一个波形周期的最高值点。,4,,,
,基于脉搏波的连续血压测量方法的研究进展,血压；连续测量；脉搏波速；血压计算模型,,江西医药,2017,连续血压无创检测方法的综述，其中，通过脉搏波检测的方法有脉搏波波速、脉搏波传导时间、脉搏波特征参量（时域的波形、时间和面积特征，频域的各次谐波强度和频率成分、能量比参数等）。血压模型的建立方法列举了线性、非线性回归方法，其中非线性回归举例支持向量机。,3,,,
,心血管疾病危险因素的研究进展,心 血管疾病 ; 危 险 因素; 研 究 ; 进展,,中国医药指南,2012,列举了其他研究者的心血管疾病危险因素的研究结果。其中包括，钠钾比例（全因死亡风险随着钠钾比例的增加呈线性增加）、吸烟、高盐饮食等。,2,,,
,脉搏波反射幅度对死亡率的预测作用：动脉粥样硬化多种族研究,,翻译：［ＺａｍａｎｉＰ，ＪａｃｏｂｓＤＲＪｒ，ＳｅｇｅｒｓＰ， ＤｕｐｒｅｚＤＡ，ＢｒｕｍｂａｃｋＬ，ＫｒｏｎｍａｌＲＡ，ＬｉｌｌｙＳＭ，Ｔｏｗｎｓｅｎｄ ＲＲ， Ｂｕｄｏｆｆ Ｍ， Ｌｉｍａ ＪＡ， Ｈａｎｎａｎ Ｐ， Ｃｈｉｒｉｎｏｓ ＪＡ． Ｈｙｐｅｒｔｅｎｓｉｏｎ，２０１４，６４（５）：９５８－９６４．,中华高血压杂志,2014,该文调研脉搏波反射幅度（后相波振幅与前向波振幅的比值）与全因死亡率的关系，结果：二者相关。对一系列亚临床动脉粥样硬化标志物进行调整后，二者仍然相关。,3,,,
,动脉硬化无创检测研究进展,动脉硬化；无创检测；踝臂指数；脉搏波传播速度；超声检查；脉搏波波形分析； AASI,动脉硬化度的无创检测对于心血管疾病的“三早”预防具有重要意义。本文介绍了踝臂指数、脉搏波传播速度等目前用于动脉硬化无创检测的主要指标及其相关技术、装置，对近年来动脉弹性功能检测领域的研究进展进行了阐述。,中国医疗设备,2015,"提出了动硬化无创裣测的且个指标，问括踝臂指（后人体下肢踝牧压与上肢肱动牧压之比，其罡下肢动硬化闭塞症的重要指标）、搏传檑度、颈动内中月莫厚度I耵、搏分析的强指数AI（通过转换函将在外周测得的搏映射到中心动处，从而评估中心动的状况）、压（动硬化罡导致压大的重要因素之一，压的大反过来又加动硬化，二者相互响。可用于评估动硬化程度和心血管风险）、动态动硬化指（AmbulatoryArterialStiffnessIndex,AASI，可用于表征动的整体硬化程度，可通过动态血压监测设备进行测量）",5,,,
2019/5/8,Do Existing Measures of Poincaré Plot Geometry Reflect Nonlinear Features of Heart Rate Variability?,"Heart rate variability (HRV), nonlinear analysis, Poincaré","Heart rate variability (HRV) is concerned with the analysis of the intervals between heartbeats. An emerging analysis technique is the Poincaré plot, which takes a sequence of intervals and plots each interval against the following interval. The geometry of this plot has been shown to distinguish between healthy and unhealthy subjects in clinical settings. The Poincaré plot is a valuable HRV analysis technique due to its ability to dis play nonlinear aspects of the interval sequence. The problem is, how do we quantitatively characterize the plot to capture useful summary descriptors that are independent of existing HRV measures? Researchers have inves tigated a number of techniques: converting the two-dimensional plot into various one-dimensional views; the fitting of an ellipse to the plot shape; and measuring the correlation coefficient of the plot. We investigate each of these methods in detail and show that they are all measuring linear as pects of the intervals which existing HRV indexes already specify. The fact that these methods appear insensitive to the nonlinear characteristics of the intervals is an important finding because the Poincaré plot is primarily a nonlinear technique. Therefore, further work is needed to determine if better methods of characterizing Poincaré plot geometry can be found.",IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,2001,对庞加莱散点图的独立非线性提出质疑，深度剖析其与现有HRV指标的关系，列举常用的Poincare plot的测量方法，发现没有一个可以独立表示HRV的非线性，建议进一步挖掘非线性的表示及测量方法。散点图指标中散点图的宽度对应short-term的HRV线性指标，像SDSD，RMSSD，SD1这些指标都是相关的，都可表示短时程的，而长度则对应long-term变异性，和SDRR，即SDNN相关，同表示长时程的心率变异性。该研究推导了Poincare plot指标：椭圆拟合、直方图、相关系数等和线性HRV指标的关系，发现这些所谓的非线性指标均可由已有的线性指标如SDNN，SDSD等线性表示，不是真正意义的非线性指标。另外，提出延时Poincare plot和高阶Poincare plot的概念。列举了两个临床散点图的例子，分别是间歇性室性早搏（intermittent ventricular premature contractions）和呼吸窦性心律失常（respiratory sinus arrhythmia，RSA）。,5,,,
,,,,工程所博士论文,2019,"研究HRV在心肌梗死患者中的应用，主要提取HRV的频
域指标，和通用的频域指标的划分标准一样，频域分析
方法采用线性幅值谱，能有效保留信号的原始幅度，
该方法优于传统的PSD方法。提出心率变异性频域特征研究的争议性。",4,,,
